assetId,assetTypeId
01FR6G8PDKJN36KAZ0J6WXAN80,01FX34K9DDZXE2TC4XX09HY08Z
01FR6G8PDKKSCXFEN4PGKX43A4,01FX34K9DDZXE2TC4XX09HY08Z
01FR6GJXH8C6608MJVKE9H2HXS,01FX34K9DDZXE2TC4XX09HY08Z
01FR8K88MA27YK5689FS0P0XKA,01FX34K9DDZXE2TC4XX09HY08Z
01FRDPTH1T1XY0GQK29PK7JE0F,01FX34K9DDZXE2TC4XX09HY08Z
01FRDPTH1T5QY6EG5RGHQ66SS6,01FX34K9DDZXE2TC4XX09HY08Z
01FRDPTH1TF9484QFE4FQAF3H3,01FX34K9DDZXE2TC4XX09HY08Z
01FRDQ6P89J6KE2E1YKCYKW212,01FX34K9DDZXE2TC4XX09HY08Z
01FRDQ9VNGZDNXZGHMECD1TXBD,01FX34K9DDZXE2TC4XX09HY08Z
01FRGNMR6N7RR842K0F0KJCEHH,01FX34K9DDZXE2TC4XX09HY08Z
01FRK6W7QCMQRMBENKH2QMJ8M6,01FX34K9DDZXE2TC4XX09HY08Z
01FS37EFSM6AFSB500KNQ7STRR,01FX34K9DDZXE2TC4XX09HY08Z
01FS4E89Z03Y9X3ETJR039ZQGG,01FX34K9DDZXE2TC4XX09HY08Z
01FS4E89Z0D0K3BVPC3BKSB7WN,01FX34K9DDZXE2TC4XX09HY08Z
01FS4E89Z0PNHH3A601JX66HC9,01FX34K9DDZXE2TC4XX09HY08Z
01FS4EEB78075EWJ7B2QT79V3J,01FX34K9DDZXE2TC4XX09HY08Z
01FS4EEB7875VNJT7E5EYJR71N,01FX34K9DDZXE2TC4XX09HY08Z
01FS4EEB78T8ZWDSRXPBMNW0CQ,01FX34K9DDZXE2TC4XX09HY08Z
01FS4EEB78V3NYM04CSTRCH6AD,01FX34K9DDZXE2TC4XX09HY08Z
01FS4EEB78VM2H2V8F08XCDQB7,01FX34K9DDZXE2TC4XX09HY08Z
01FS4EEB78XWT7RRXB5PQWJN1P,01FX34K9DDZXE2TC4XX09HY08Z
01FS4EEB7947SV7641JZ27M03T,01FX34K9DDZXE2TC4XX09HY08Z
01FS4EEB79GRBZHCF376ZHSDS0,01FX34K9DDZXE2TC4XX09HY08Z
01FS4EEB79NBR2WP0A16243V4Q,01FX34K9DDZXE2TC4XX09HY08Z
01FS4EEB79XVF3YYBZQMYZVFVA,01FX34K9DDZXE2TC4XX09HY08Z
01FS4FDWQT1W2E4ZT2TGA74YCT,01FX34K9DDZXE2TC4XX09HY08Z
01FS4FDWQT2HPMR1N08YX70C38,01FX34K9DDZXE2TC4XX09HY08Z
01FS4FDWQT2MEBE53N59B5WMRH,01FX34K9DDZXE2TC4XX09HY08Z
01FS4FDWQT461RS1V3RKVWW49Q,01FX34K9DDZXE2TC4XX09HY08Z
01FS4FDWQT60S0PP6THPKHWAAZ,01FX34K9DDZXE2TC4XX09HY08Z
01FS4FDWQT61FT54FGA4VX4VQ0,01FX34K9DDZXE2TC4XX09HY08Z
01FS4FDWQTB2QB1QTHWEG1HSQ6,01FX34K9DDZXE2TC4XX09HY08Z
01FS4FDWQTE4Q6DMZWZ1J1T9P2,01FX34K9DDZXE2TC4XX09HY08Z
01FS4FDWQTP1SFWH1N103Z6KJP,01FX34K9DDZXE2TC4XX09HY08Z
01FS4FDWQTRAY1FXKMC0KAJ00G,01FX34K9DDZXE2TC4XX09HY08Z
01FS4MS54R4P91S90G8Z72A9RN,01FX34K9DDZXE2TC4XX09HY08Z
01FS4MS54RMGN7ZZC0JXPRXVJ9,01FX34K9DDZXE2TC4XX09HY08Z
01FS4MS54RX7KDEBWS0SNBK54W,01FX34K9DDZXE2TC4XX09HY08Z
01FS4NJGYD0FS6CRAS52YT6HDG,01FX34K9DDZXE2TC4XX09HY08Z
01FS4PWP30CSAVTTHXXZ5G3MT9,01FX34K9DDZXE2TC4XX09HY08Z
01FS4PWP30H38X4J0GXNHQ1NDZ,01FX34K9DDZXE2TC4XX09HY08Z
01FS4PWP30JM5GCZS46W6RP26Y,01FX34K9DDZXE2TC4XX09HY08Z
01FS58D7ZRYE9AY5ZGDY1SJR5F,01FX34K9DDZXE2TC4XX09HY08Z
01FS5HX7S1EMFM32JDS8SGYCRZ,01FX34K9DDZXE2TC4XX09HY08Z
01FS5HYM7QT0KPCDBG6F91BANP,01FX34K9DDZXE2TC4XX09HY08Z
