id,createdAt,updatedAt,assetId,color,coverage
01G2YQ9J765PMMJ36B9AEH0A5Q,2022-05-13 12:46:29.309295,2022-05-13 12:46:29.309295,01G1189TMWT8Z3EXYH54YGVDGE,Light Gray,0.304219
01G2YQ9J766S2NHF6JSK5KJEWQ,2022-05-13 12:46:29.312946,2022-05-13 12:46:29.312946,01G1189TMWT8Z3EXYH54YGVDGE,Rosy Brown,0.103594
01G2YQ9J76FY2BZBMDM0MVJ617,2022-05-13 12:46:29.311084,2022-05-13 12:46:29.311084,01G1189TMWT8Z3EXYH54YGVDGE,Light Pink,0.120937
01G2YQ9J76N3P5YMJS6HM624XT,2022-05-13 12:46:29.307536,2022-05-13 12:46:29.307536,01G1189TMWT8Z3EXYH54YGVDGE,Golden Rod,0.104531
01G2YQ9JFN3RQ7KAEFMCPAJC68,2022-05-13 12:46:29.590186,2022-05-13 12:46:29.590186,01G1189TMX9B8NM26VYQ6YY7QP,Green,0.277656
01G2YQ9JFNCNRW3WVWSZJC22BT,2022-05-13 12:46:29.593368,2022-05-13 12:46:29.593368,01G1189TMX9B8NM26VYQ6YY7QP,Gray,0.233594
01G2YQ9JFNQTXHQX6MH2E7VA5P,2022-05-13 12:46:29.599348,2022-05-13 12:46:29.599348,01G1189TMX9B8NM26VYQ6YY7QP,Light Gray,0.178281
01G2YQ9K346KC8AE096D6R1RMR,2022-05-13 12:46:30.126971,2022-05-13 12:46:30.126971,01G1189TMY19G6W1746JZFXTDS,Green,0.139531
01G2YQ9K34DS8935AZ6TD540K8,2022-05-13 12:46:30.128662,2022-05-13 12:46:30.128662,01G1189TMY19G6W1746JZFXTDS,Gray,0.217031
01G2YQ9K34N0BSESMHM51DZYH6,2022-05-13 12:46:30.130328,2022-05-13 12:46:30.130328,01G1189TMY19G6W1746JZFXTDS,Rosy Brown,0.130313
01G2YQ9K34V6A3MMQT8VZQE0Z6,2022-05-13 12:46:30.131808,2022-05-13 12:46:30.131808,01G1189TMY19G6W1746JZFXTDS,Steel Blue,0.258281
01G2YQ9K5J419GQHSJFY26FY9A,2022-05-13 12:46:30.271366,2022-05-13 12:46:30.271366,01G1189TMYD2T9AX2X1X6SGTHD,Gray,0.174219
01G2YQ9K5J6FBD786JZMG19VRJ,2022-05-13 12:46:30.269789,2022-05-13 12:46:30.269789,01G1189TMYD2T9AX2X1X6SGTHD,Green,0.1475
01G2YQ9K5JXY30HNKR38PE0MH9,2022-05-13 12:46:30.274562,2022-05-13 12:46:30.274562,01G1189TMYD2T9AX2X1X6SGTHD,Black,0.102656
01G2YQ9K5JZA4W13WF3Q0GR9M0,2022-05-13 12:46:30.273146,2022-05-13 12:46:30.273146,01G1189TMYD2T9AX2X1X6SGTHD,Light Gray,0.12
